# Observer      : 1
# Position      : (2.20000000e-01 1.50000000e-01 -1.00000000e-02)
# Time          	p(Curle)        
100             2.32245897e-07
100.01          2.32723735e-07
100.02          2.33159231e-07
100.03          2.33640300e-07
100.04          2.34132645e-07
100.05          2.34616287e-07
100.06          2.35143428e-07
100.07          2.35654635e-07
100.08          2.36133352e-07
100.09          2.36650283e-07
100.1           2.37174852e-07
100.11          2.37681450e-07
100.12          2.38235556e-07
100.13          2.38802307e-07
100.14          2.39352602e-07
100.15          2.39923282e-07
100.16          2.40437359e-07
100.17          2.41010463e-07
100.18          2.41562229e-07
100.19          2.42141737e-07
100.2           2.42743191e-07
100.21          2.43341066e-07
100.22          2.43908275e-07
100.23          2.44490205e-07
100.24          2.45118663e-07
100.25          2.45753507e-07
100.26          2.46355763e-07
100.27          2.46976807e-07
100.28          2.47617517e-07
100.29          2.48260052e-07
100.3           2.48869220e-07
100.31          2.49530991e-07
100.32          2.50211236e-07
100.33          2.50879918e-07
100.34          2.51550444e-07
100.35          2.52180043e-07
100.36          2.52860256e-07
100.37          2.53563695e-07
100.38          2.54265928e-07
100.39          2.54959985e-07
100.4           2.55665849e-07
100.41          2.56358790e-07
100.42          2.57096348e-07
100.43          2.57813225e-07
100.44          2.58518350e-07
100.45          2.59264228e-07
100.46          2.60013586e-07
100.47          2.60724255e-07
100.48          2.61490888e-07
100.49          2.62258908e-07
100.5           2.63001506e-07
100.51          2.63787785e-07
100.52          2.64560024e-07
100.53          2.65304933e-07
100.54          2.66096488e-07
100.55          2.66869013e-07
100.56          2.67668421e-07
100.57          2.68463828e-07
100.58          2.69256710e-07
100.59          2.70093425e-07
100.6           2.70886197e-07
100.61          2.71677527e-07
100.62          2.72512794e-07
100.63          2.73343560e-07
100.64          2.74172824e-07
100.65          2.75036253e-07
100.66          2.75882228e-07
100.67          2.76682346e-07
100.68          2.77563139e-07
100.69          2.78392533e-07
100.7           2.79260561e-07
100.71          2.80138890e-07
100.72          2.81016786e-07
100.73          2.81897937e-07
100.74          2.82787617e-07
100.75          2.83642870e-07
100.76          2.84543916e-07
100.77          2.85423732e-07
100.78          2.86328459e-07
100.79          2.87245444e-07
100.8           2.88154752e-07
100.81          2.89104023e-07
100.82          2.89966052e-07
100.83          2.90880019e-07
100.84          2.91793805e-07
100.85          2.92754679e-07
100.86          2.93654872e-07
100.87          2.94630766e-07
100.88          2.95571892e-07
100.89          2.96533484e-07
100.9           2.97441183e-07
100.91          2.98412011e-07
100.92          2.99334749e-07
100.93          3.00347290e-07
100.94          3.01296720e-07
100.95          3.02262605e-07
100.96          3.03267070e-07
100.97          3.04233843e-07
100.98          3.05179886e-07
100.99          3.06176032e-07
101             3.07164296e-07
101.01          3.08156713e-07
101.02          3.09186452e-07
101.03          3.10155524e-07
101.04          3.11188382e-07
101.05          3.12209589e-07
101.06          3.13197236e-07
101.07          3.14193976e-07
101.08          3.15226972e-07
101.09          3.16240677e-07
101.1           3.17289897e-07
101.11          3.18303131e-07
101.12          3.19347021e-07
101.13          3.20377267e-07
101.14          3.21406558e-07
101.15          3.22417149e-07
101.16          3.23464328e-07
101.17          3.24506936e-07
101.18          3.25590087e-07
101.19          3.26627384e-07
101.2           3.27681847e-07
101.21          3.28752168e-07
101.22          3.29821063e-07
101.23          3.30838992e-07
101.24          3.31927334e-07
101.25          3.32991501e-07
101.26          3.34090724e-07
101.27          3.35108183e-07
101.28          3.36205934e-07
101.29          3.37285656e-07
101.3           3.38374025e-07
101.31          3.39444822e-07
101.32          3.40536726e-07
101.33          3.41603482e-07
101.34          3.42722073e-07
101.35          3.43782010e-07
101.36          3.44885639e-07
101.37          3.46004777e-07
101.38          3.47101311e-07
101.39          3.48215990e-07
101.4           3.49293980e-07
101.41          3.50369035e-07
101.42          3.51486933e-07
101.43          3.52590393e-07
101.44          3.53689240e-07
101.45          3.54807437e-07
101.46          3.55940987e-07
101.47          3.57055877e-07
101.48          3.58167194e-07
101.49          3.59251189e-07
101.5           3.60396344e-07
101.51          3.61510171e-07
101.52          3.62623653e-07
101.53          3.63734893e-07
101.54          3.64898074e-07
101.55          3.65988600e-07
101.56          3.67129844e-07
101.57          3.68255374e-07
101.58          3.69364419e-07
101.59          3.70476351e-07
101.6           3.71607487e-07
101.61          3.72746532e-07
101.62          3.73884463e-07
101.63          3.75022466e-07
101.64          3.76170266e-07
101.65          3.77321275e-07
101.66          3.78421197e-07
101.67          3.79534634e-07
101.68          3.80685254e-07
101.69          3.81802219e-07
101.7           3.82932543e-07
101.71          3.84087319e-07
101.72          3.85218670e-07
101.73          3.86361988e-07
101.74          3.87511144e-07
101.75          3.88619890e-07
101.76          3.89755990e-07
101.77          3.90901582e-07
101.78          3.92028376e-07
101.79          3.93163136e-07
101.8           3.94314831e-07
101.81          3.95476362e-07
101.82          3.96585751e-07
101.83          3.97749445e-07
101.84          3.98873016e-07
101.85          3.99996536e-07
101.86          4.01118110e-07
101.87          4.02291950e-07
101.88          4.03418137e-07
101.89          4.04556180e-07
101.9           4.05700064e-07
101.91          4.06837382e-07
101.92          4.07979541e-07
101.93          4.09102939e-07
101.94          4.10244540e-07
101.95          4.11342991e-07
101.96          4.12460211e-07
101.97          4.13559211e-07
101.98          4.14701249e-07
101.99          4.15830440e-07
102             4.16967651e-07
102.01          4.18103189e-07
102.02          4.19204777e-07
102.03          4.20318001e-07
102.04          4.21447457e-07
102.05          4.22558659e-07
102.06          4.23674291e-07
102.07          4.24814510e-07
102.08          4.25905405e-07
102.09          4.27022686e-07
102.1           4.28118592e-07
102.11          4.29229837e-07
102.12          4.30336233e-07
102.13          4.31454433e-07
102.14          4.32564244e-07
102.15          4.33655277e-07
102.16          4.34769404e-07
102.17          4.35875744e-07
102.18          4.36974132e-07
102.19          4.38074359e-07
102.2           4.39149567e-07
102.21          4.40226527e-07
102.22          4.41302879e-07
102.23          4.42385344e-07
102.24          4.43472056e-07
102.25          4.44572713e-07
102.26          4.45660097e-07
102.27          4.46747442e-07
102.28          4.47811824e-07
102.29          4.48885900e-07
102.3           4.49942706e-07
102.31          4.51012557e-07
102.32          4.52079776e-07
102.33          4.53117940e-07
102.34          4.54190240e-07
102.35          4.55246757e-07
102.36          4.56311805e-07
102.37          4.57349707e-07
102.38          4.58404955e-07
102.39          4.59445150e-07
102.4           4.60478457e-07
102.41          4.61522855e-07
102.42          4.62548113e-07
102.43          4.63605036e-07
102.44          4.64643088e-07
102.45          4.65641361e-07
102.46          4.66688563e-07
102.47          4.67680883e-07
102.48          4.68688323e-07
102.49          4.69693342e-07
102.5           4.70713887e-07
102.51          4.71708133e-07
102.52          4.72727050e-07
102.53          4.73727204e-07
102.54          4.74727663e-07
102.55          4.75747296e-07
102.56          4.76753581e-07
102.57          4.77703114e-07
102.58          4.78676994e-07
102.59          4.79657769e-07
102.6           4.80619430e-07
102.61          4.81611050e-07
102.62          4.82627939e-07
102.63          4.83574658e-07
102.64          4.84453900e-07
102.65          4.85418763e-07
102.66          4.86366205e-07
102.67          4.87312538e-07
102.68          4.88257254e-07
102.69          4.89163458e-07
102.7           4.90108325e-07
102.71          4.91057947e-07
102.72          4.91969295e-07
102.73          4.92874446e-07
102.74          4.93811856e-07
102.75          4.94718608e-07
102.76          4.95605027e-07
102.77          4.96522022e-07
102.78          4.97405983e-07
102.79          4.98323014e-07
102.8           4.99217050e-07
102.81          5.00065905e-07
102.82          5.00955756e-07
102.83          5.01810386e-07
102.84          5.02670961e-07
102.85          5.03545747e-07
102.86          5.04402227e-07
102.87          5.05250863e-07
102.88          5.06103981e-07
102.89          5.06957887e-07
102.9           5.07798293e-07
102.91          5.08648210e-07
102.92          5.09431950e-07
102.93          5.10245319e-07
102.94          5.11062453e-07
102.95          5.11860578e-07
102.96          5.12676505e-07
102.97          5.13496233e-07
102.98          5.14297975e-07
102.99          5.15077084e-07
103             5.15881464e-07
103.01          5.16632654e-07
103.02          5.17405601e-07
103.03          5.18162045e-07
103.04          5.18917025e-07
103.05          5.19654405e-07
103.06          5.20413386e-07
103.07          5.21157123e-07
103.08          5.21940532e-07
103.09          5.22701369e-07
103.1           5.23391239e-07
103.11          5.24111045e-07
103.12          5.24842725e-07
103.13          5.25563441e-07
103.14          5.26261820e-07
103.15          5.26892937e-07
103.16          5.27597076e-07
103.17          5.28285697e-07
103.18          5.28973979e-07
103.19          5.29628102e-07
103.2           5.30298159e-07
103.21          5.30946577e-07
103.22          5.31592438e-07
103.23          5.32256594e-07
103.24          5.32928444e-07
103.25          5.33543799e-07
103.26          5.34171555e-07
103.27          5.34780263e-07
103.28          5.35379680e-07
103.29          5.36004057e-07
103.3           5.36600376e-07
103.31          5.37195838e-07
103.32          5.37768112e-07
103.33          5.38379998e-07
103.34          5.38956554e-07
103.35          5.39536404e-07
103.36          5.40077690e-07
103.37          5.40608490e-07
103.38          5.41158012e-07
103.39          5.41693896e-07
103.4           5.42235383e-07
103.41          5.42775469e-07
103.42          5.43299858e-07
103.43          5.43802673e-07
103.44          5.44329094e-07
103.45          5.44828465e-07
103.46          5.45293623e-07
103.47          5.45767172e-07
103.48          5.46245569e-07
103.49          5.46698905e-07
103.5           5.47186806e-07
103.51          5.47656350e-07
103.52          5.48105871e-07
103.53          5.48550391e-07
103.54          5.48964600e-07
103.55          5.49424343e-07
103.56          5.49852280e-07
103.57          5.50243320e-07
103.58          5.50645901e-07
103.59          5.51071889e-07
103.6           5.51415212e-07
103.61          5.51810289e-07
103.62          5.52209328e-07
103.63          5.52543205e-07
103.64          5.52908674e-07
103.65          5.53270362e-07
103.66          5.53619710e-07
103.67          5.53936969e-07
103.68          5.54289528e-07
103.69          5.54617795e-07
103.7           5.54921860e-07
103.71          5.55237816e-07
103.72          5.55527838e-07
103.73          5.55815091e-07
103.74          5.56089479e-07
103.75          5.56370543e-07
103.76          5.56649892e-07
103.77          5.56929738e-07
103.78          5.57162515e-07
103.79          5.57418216e-07
103.8           5.57636225e-07
103.81          5.57873284e-07
103.82          5.58102686e-07
103.83          5.58314151e-07
103.84          5.58524273e-07
103.85          5.58723784e-07
103.86          5.58937383e-07
103.87          5.59099995e-07
103.88          5.59272652e-07
103.89          5.59426810e-07
103.9           5.59581038e-07
103.91          5.59754852e-07
103.92          5.59887727e-07
103.93          5.60021096e-07
103.94          5.60157370e-07
103.95          5.60270009e-07
103.96          5.60419077e-07
103.97          5.60490389e-07
103.98          5.60542592e-07
103.99          5.60648567e-07
104             5.60757586e-07
104.01          5.60841146e-07
104.02          5.60896906e-07
104.03          5.60940578e-07
104.04          5.60974411e-07
104.05          5.61026298e-07
104.06          5.61041086e-07
104.07          5.61043762e-07
104.08          5.61056801e-07
104.09          5.61082347e-07
104.1           5.61076757e-07
104.11          5.61066553e-07
104.12          5.61055565e-07
104.13          5.61043820e-07
104.14          5.61011004e-07
104.15          5.60928233e-07
104.16          5.60915849e-07
104.17          5.60810196e-07
104.18          5.60738022e-07
104.19          5.60667420e-07
104.2           5.60610810e-07
104.21          5.60524784e-07
104.22          5.60417211e-07
104.23          5.60323723e-07
104.24          5.60188198e-07
104.25          5.60056783e-07
104.26          5.59915167e-07
104.27          5.59770224e-07
104.28          5.59622307e-07
104.29          5.59466630e-07
104.3           5.59306905e-07
104.31          5.59136339e-07
104.32          5.58937472e-07
104.33          5.58739899e-07
104.34          5.58567788e-07
104.35          5.58345376e-07
104.36          5.58099298e-07
104.37          5.57894737e-07
104.38          5.57678401e-07
104.39          5.57440624e-07
104.4           5.57198887e-07
104.41          5.56920654e-07
104.42          5.56642072e-07
104.43          5.56375852e-07
104.44          5.56114038e-07
104.45          5.55792362e-07
104.46          5.55490638e-07
104.47          5.55233952e-07
104.48          5.54879242e-07
104.49          5.54525278e-07
104.5           5.54223076e-07
104.51          5.53879490e-07
104.52          5.53544811e-07
104.53          5.53207425e-07
104.54          5.52808089e-07
104.55          5.52469254e-07
104.56          5.52097386e-07
104.57          5.51695790e-07
104.58          5.51273397e-07
104.59          5.50885017e-07
104.6           5.50482340e-07
104.61          5.50055811e-07
104.62          5.49604265e-07
104.63          5.49194130e-07
104.64          5.48734219e-07
104.65          5.48324069e-07
104.66          5.47854537e-07
104.67          5.47376709e-07
104.68          5.46889872e-07
104.69          5.46391170e-07
104.7           5.45901693e-07
104.71          5.45432786e-07
104.72          5.44899121e-07
104.73          5.44361484e-07
104.74          5.43826183e-07
104.75          5.43330149e-07
104.76          5.42807066e-07
104.77          5.42259874e-07
104.78          5.41718528e-07
104.79          5.41150018e-07
104.8           5.40594906e-07
104.81          5.40007829e-07
104.82          5.39420042e-07
104.83          5.38887285e-07
104.84          5.38255633e-07
104.85          5.37635372e-07
104.86          5.37006517e-07
104.87          5.36404087e-07
104.88          5.35807712e-07
104.89          5.35187666e-07
104.9           5.34483170e-07
104.91          5.33835669e-07
104.92          5.33213723e-07
104.93          5.32527403e-07
104.94          5.31858644e-07
104.95          5.31136781e-07
104.96          5.30477889e-07
104.97          5.29799937e-07
104.98          5.29109918e-07
104.99          5.28373894e-07
105             5.27685483e-07
105.01          5.26930330e-07
105.02          5.26200841e-07
105.03          5.25483671e-07
105.04          5.24726958e-07
105.05          5.23999626e-07
105.06          5.23252261e-07
105.07          5.22450806e-07
105.08          5.21679192e-07
105.09          5.20951333e-07
105.1           5.20150818e-07
105.11          5.19337886e-07
105.12          5.18519499e-07
105.13          5.17690333e-07
105.14          5.16916932e-07
105.15          5.16078989e-07
105.16          5.15275780e-07
105.17          5.14442995e-07
