# Force         
# CofR          : (2.00000000e-01 1.50000000e-01 -1.00000000e-02)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
100              3.48177052e-07 4.71571211e-08 -3.47063932e-23 2.60087109e-07 4.03511324e-08 -3.06171236e-23 8.80899432e-08 6.80598879e-09 -4.08926959e-24
101              3.48819749e-07 2.59102920e-08 -3.53888495e-23 2.60498723e-07 2.02255101e-08 -3.03420794e-23 8.83210265e-08 5.68478190e-09 -5.04677018e-24
102              3.48622086e-07 -8.59588253e-09 -3.62653453e-23 2.60199094e-07 -1.05306144e-08 -2.90598534e-23 8.84229912e-08 1.93473184e-09 -7.20549186e-24
103              3.49524539e-07 -4.17519273e-08 -3.69524200e-23 2.60961454e-07 -3.87995442e-08 -2.74505214e-23 8.85630850e-08 -2.95238305e-09 -9.50189862e-24
104              3.51802296e-07 -5.82153000e-08 -3.68886609e-23 2.62939855e-07 -5.13884528e-08 -2.67820720e-23 8.88624413e-08 -6.82684711e-09 -1.01065890e-23
105              3.53368982e-07 -4.93071806e-08 -3.60397402e-23 2.64192401e-07 -4.14587855e-08 -2.74756921e-23 8.91765810e-08 -7.84839508e-09 -8.56404811e-24
106              3.53003101e-07 -1.75993481e-08 -3.49276889e-23 2.63705449e-07 -1.22204083e-08 -2.90249355e-23 8.92976527e-08 -5.37893981e-09 -5.90275344e-24
107              3.52518210e-07 2.39019535e-08 -3.41420477e-23 2.63212053e-07 2.42387840e-08 -3.06610959e-23 8.93061566e-08 -3.36830485e-10 -3.48095180e-24
108              3.54086726e-07 5.67506176e-08 -3.40188817e-23 2.64621923e-07 5.16269913e-08 -3.18371362e-23 8.94648029e-08 5.12362634e-09 -2.18174553e-24
109              3.56595179e-07 6.52156369e-08 -3.44583323e-23 2.66795657e-07 5.67119866e-08 -3.24906300e-23 8.97995228e-08 8.50365028e-09 -1.96770231e-24
110              3.57189600e-07 4.43574961e-08 -3.52716155e-23 2.67165115e-07 3.62003748e-08 -3.23174253e-23 9.00244850e-08 8.15712131e-09 -2.95419023e-24
111              3.55859808e-07 2.50669379e-09 -3.62743846e-23 2.65858265e-07 -1.58391447e-09 -3.10716593e-23 9.00015421e-08 4.09060826e-09 -5.20272527e-24
112              3.55786286e-07 -4.22840060e-08 -3.71695349e-23 2.65807763e-07 -4.02777492e-08 -2.91668500e-23 8.99785231e-08 -2.00625680e-09 -8.00268485e-24
113              3.58209848e-07 -6.93736341e-08 -3.74191586e-23 2.67991976e-07 -6.19637122e-08 -2.77177680e-23 9.02178728e-08 -7.40992196e-09 -9.70139057e-24
114              3.60248891e-07 -6.54649385e-08 -3.66501939e-23 2.69698095e-07 -5.58746503e-08 -2.78439559e-23 9.05507969e-08 -9.59028823e-09 -8.80623807e-24
115              3.59389066e-07 -3.16562684e-08 -3.52729557e-23 2.68764181e-07 -2.41976673e-08 -2.94481648e-23 9.06248844e-08 -7.45860110e-09 -5.82479088e-24
116              3.57756343e-07 1.76296114e-08 -3.40789037e-23 2.67269377e-07 1.94932965e-08 -3.15498359e-23 9.04869661e-08 -1.86368513e-09 -2.52906782e-24
117              3.58799937e-07 6.03656155e-08 -3.36861547e-23 2.68275624e-07 5.56167915e-08 -3.31201976e-23 9.05243130e-08 4.74882401e-09 -5.65957100e-25
