# Moment        
# CofR          : (2.00000000e-01 1.50000000e-01 -1.00000000e-02)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
100              -5.28675953e-24 -4.98535153e-25 -5.22298649e-08 -5.18343660e-24 5.05405963e-25 -3.90130663e-08 -1.03322935e-25 -1.00394112e-24 -1.32167986e-08
101              -5.36906541e-24 -4.73945629e-25 -5.23070744e-08 -5.08880461e-24 5.17626329e-25 -3.90748084e-08 -2.80260803e-25 -9.91571958e-25 -1.32322660e-08
102              -5.46550865e-24 -4.43653645e-25 -5.22638630e-08 -4.81930709e-24 5.28195773e-25 -3.90298642e-08 -6.46201566e-25 -9.71849418e-25 -1.32339988e-08
103              -5.53271406e-24 -4.17897881e-25 -5.23977541e-08 -4.51238619e-24 5.35878645e-25 -3.91442182e-08 -1.02032787e-24 -9.53776526e-25 -1.32535359e-08
104              -5.50295672e-24 -4.02984479e-25 -5.27516397e-08 -4.39617320e-24 5.46072802e-25 -3.94409782e-08 -1.10678352e-24 -9.49057281e-25 -1.33106615e-08
105              -5.38186948e-24 -4.08353299e-25 -5.30079606e-08 -4.54483350e-24 5.54180199e-25 -3.96288602e-08 -8.37035980e-25 -9.62533498e-25 -1.33791004e-08
106              -5.24639903e-24 -4.37670087e-25 -5.29743980e-08 -4.86176580e-24 5.51238207e-25 -3.95558173e-08 -3.84633226e-25 -9.88908294e-25 -1.34185808e-08
107              -5.17153232e-24 -4.79870889e-25 -5.29134755e-08 -5.19432232e-24 5.36940719e-25 -3.94818079e-08 2.27899995e-26 -1.01681161e-24 -1.34316676e-08
108              -5.18827759e-24 -5.12703059e-25 -5.31451558e-08 -5.42335448e-24 5.21443042e-25 -3.96932884e-08 2.35076895e-25 -1.03414610e-24 -1.34518674e-08
109              -5.26538485e-24 -5.15541157e-25 -5.35031498e-08 -5.51936004e-24 5.19387144e-25 -4.00193485e-08 2.53975192e-25 -1.03492830e-24 -1.34838013e-08
110              -5.36885884e-24 -4.88765271e-25 -5.35670585e-08 -5.43483631e-24 5.31259896e-25 -4.00747673e-08 6.59774757e-26 -1.02002517e-24 -1.34922912e-08
